,평균 버스 이용량 (명),1~2인가구,3인 가구 이상,30~59세 인구,비만도 분포,가구,수요,인프라,경제,value,매장명,target
36,-0.491478672,0.09133351,0.175148975,-0.312996795,0.782912058,-0.877369927,0.327745632,0.245353682,0.395530036,2.081081081,식사준비 답십리점,1
37,-0.678727128,0.507108377,1.821936376,-0.295752802,0.147306783,-0.756453885,0.217098825,0.51523537,0.708078111,1.576576577,식사준비 신방화역점,0
38,7.04E-10,-0.739042549,2.070316571,-0.417179247,-0.787406856,0.24519159,-0.836949053,-1.359005351,0.13321536,2.873873874,식사준비 고덕자이점,1
39,2.752215548,0.209287989,-0.821576712,-1.248906013,-1.123903767,-0.371698986,2.615684053,1.389327875,3.685333213,1.4,식사준비 삼각지점,0
40,-1.012687381,-1.177997525,1.772260337,0.693198598,-0.750018311,-1.891256721,-0.990241156,0.035767337,6.255067493,1.480769231,식사준비 잠실리센츠점,0
41,7.04E-10,-0.221744672,0.848713332,-0.817552622,-0.787406856,-1.939735788,-0.756437985,-1.578755973,-1.047410681,1.963963964,식사준비 강일점,1
42,-1.481246882,-1.648641765,-1.391515783,-0.111182916,-0.750018311,-0.134952401,-0.929265591,0.262550653,-0.473405415,1.908496732,더팜홈쿡 신당동점,1
43,-0.678727128,0.507108377,1.821936376,-0.295752802,0.147306783,-0.756453885,0.217098825,0.433215771,0.708078111,1.477777778,더팜홈쿡 신방화역점,0
44,-0.182689447,-0.128437398,-0.070560466,0.286147402,-0.750018311,0.139321805,0.733964679,1.860310878,1.867672674,1.5,더팜홈쿡 가락본동점,0
45,0.381155432,-0.536289949,-1.38991333,-0.773597348,0.782912058,0.197696679,1.084517473,0.473530632,-0.871592627,1.821917808,이지쿡 회기본점,1
46,-0.88729367,-0.66011281,-0.818371806,-0.657031343,-1.273457949,0.705915335,-0.580673344,1.341105037,-0.046878436,1.285714286,이지쿡 망원점,0
47,0.001559713,1.581022291,0.498310304,0.013666968,-0.114413036,-0.376550156,0.554425323,1.957443305,-0.164388254,1.235294118,이지쿡 공릉역점,0
48,0.645831909,0.62066157,-0.516576515,1.008112777,1.156797514,1.453926434,0.054566831,1.062015065,-0.667957037,1.604166667,이지쿡 미아점,0
49,-0.851279027,-1.507507177,-0.928406903,0.840998207,1.493294425,-0.422878413,-0.853297071,-1.658383618,-1.268618687,1.706666667,이지쿡 신월점,0
50,1.07279346,0.740376563,2.676577908,1.926439886,1.493294425,-1.88395683,0.409132952,0.356337013,0.719982772,1,팔도만찬 신정네거리점,0
51,-0.087357926,-0.78775012,-0.802347277,-0.355726393,1.044631878,0.392871258,-0.955124902,-1.39488062,-1.041497527,1,팔도만찬 홍제점,0
52,-0.930229768,-1.164206828,-1.349317858,-1.321728068,-0.750018311,-0.195667292,-0.79475626,0.29315713,-0.785698641,1.166666667,팔도만찬 만리점,0
53,0.577009565,1.735654157,1.435745234,-0.558131976,0.184695329,3.260119153,0.462490308,1.158570441,0.288488834,1,밀키트 팔도만찬 역촌점,0
54,-0.074322517,0.191682843,0.051760103,-0.095206865,1.642848607,0.326161372,-0.159887291,-0.00999035,-0.651890242,1,팔도만찬 방학역점,0
55,0.016948416,-0.273386434,0.414448603,-0.553905508,-0.750018311,-0.437753934,-0.636327961,-0.632597607,0.107161944,1.714285714,터치쿡 문현점,0
56,0.564227944,-1.029234041,2.491227525,1.49990467,1.493294425,-2.10963401,-0.640396733,-0.445458773,1.054903194,1.176470588,터치쿡 목동3단지점,0
57,1.154166711,0.080477003,-1.556568429,-1.398100357,-0.376132855,0.797804082,0.050961766,0.60757315,-0.307070335,1.295454545,NBM 성신여대점,0
58,0.577009565,1.735654157,1.435745234,-0.558131976,0.184695329,3.260119153,0.462490308,2.206254742,0.288488834,1,밀키트 NBM 역촌역점,0
59,0.739433067,1.155564593,0.119063124,1.926439886,1.493294425,1.96366484,1.254287219,1.193383773,-0.243219301,1.416666667,NBM 신정역점,0
60,0.361429282,-0.508708554,-0.286357453,-1.162770582,-0.450909946,1.890996778,-0.34214344,-0.846599468,-1.318378418,1.863636364,NBM 구로궁동점,1
61,0.226391674,-0.327668968,-0.940158224,0.472619199,2.1288997,0.944890305,0.050860329,-0.82613526,-1.248470555,0.00001,NBM 밀키트 금천점,0
62,-0.851279027,-1.507507177,-0.928406903,0.840998207,1.493294425,-0.422878413,-0.853297071,-1.556246005,-1.268618687,1,NBM 신월점,0
63,1.087005517,1.159085622,0.849247483,-0.197867788,0.184695329,0.484823453,-0.26314815,-1.133846528,0.093747685,1.08,NBM 독바위점,0
64,0.104504835,-0.474965357,0.132416898,-0.671823983,-0.376132855,-0.450287155,-0.628068844,0.375786527,-0.027096021,1.652173913,예반스 월곡점,0
65,-0.999375114,-1.087917861,-1.105745021,0.840998207,1.493294425,0.795662559,-0.915591892,-0.708712661,-1.159067975,1.2,예반스 신월점,0
66,-0.917448146,-0.174504197,-0.356331228,2.405805961,-0.114413036,0.240862542,-0.433967516,0.382053638,-0.597432898,1.804347826,바른찌개밀키트 상계보람점,1
67,0.104504835,-0.474965357,0.132416898,-0.671823983,-0.376132855,-0.450287155,-0.628068844,0.169963762,-0.027096021,1.85840708,바른찌개밀키트 하월곡점,1
68,0.235804855,-0.196804048,-0.8707186,0.153478551,-2.507279953,1.028883454,0.915558967,3.119552209,4.339352428,1.137254902,보글지글 부대찌개&닭볶음탕 본점,0
69,-1.109333979,0.371548752,-0.270867075,0.289274989,-0.787406856,1.131118684,-0.332080407,1.627572018,-0.056781538,1.5,보글지글 천호점,0
70,0.143841777,-0.616393364,0.239247089,0.807059663,1.642848607,-1.640978564,-0.87935762,-1.225838116,-0.267825915,1.4,보글지글 창동점,0
